total_sqft,bath,balcony,price,site_location,bedrooms
957.0,2.0,1.0,58.0,Market yard,2.0
1250.0,2.0,3.0,44.0,Model colony,3.0
1125.0,2.0,2.0,50.0,Mundhawa,2.0
1020.0,2.0,1.0,30.6,Nagar Road,2.0
1200.0,2.0,2.0,50.0,Nana Peth,2.0
1735.0,3.0,3.0,135.0,Narayan Peth,3.0
2050.0,3.0,1.0,145.0,Narayangaon,3.0
3750.0,4.0,0.0,760.0,Navi Peth,4.0
1350.0,2.0,3.0,48.0,Padmavati,3.0
1063.0,2.0,1.0,32.0,Parvati Darshan,2.0
1904.0,3.0,1.0,150.0,Pashan,3.0
4200.0,4.0,2.0,420.0,Paud Road,4.0
2000.0,3.0,1.0,175.0,Pirangut,3.0
1242.5,2.0,0.0,43.49,Prabhat Road,2.0
1425.0,2.0,2.0,75.0,Pune Railway Station,3.0
1500.0,2.0,1.0,64.5,Rasta Peth,3.0
1060.0,2.0,1.0,60.0,Raviwar Peth,2.0
1470.0,2.0,2.0,70.0,Sadashiv Peth,3.0
450.0,1.0,1.0,11.0,Salunke Vihar,1.0
1152.0,2.0,1.0,64.5,Sasson Road,2.0
1350.0,2.0,1.0,56.0,Satara Road,3.0
1550.0,3.0,3.0,65.0,Senapati Bapat Road,3.0
1500.0,3.0,2.0,100.0,Shaniwar Peth,3.0
400.0,1.0,0.0,14.0,Shukrawar Peth,1.0
705.0,1.0,2.0,67.0,Sinhagad Road,1.0
770.0,1.0,1.0,36.0,Somwar Peth,2.0
1242.0,2.0,3.0,51.0,Swargate,2.0
1700.0,3.0,2.0,155.0,Tilak Road,3.0
2144.0,3.0,2.0,145.0,Uruli Devachi,3.0
1704.0,3.0,2.0,110.0,Vadgaon Budruk,3.0
1070.0,2.0,1.0,52.0,Wadgaon Sheri,2.0
1846.0,3.0,2.0,300.0,Viman Nagar,3.0
1340.0,2.0,2.0,55.7,Vishrant Wadi,2.0
1025.0,2.0,1.0,46.0,Wagholi,2.0
1277.5,2.0,0.0,56.8,Wakadewadi,2.0
1200.0,2.0,2.0,52.0,Wanowrie,2.0
2250.0,4.0,1.0,110.0,Warje,4.0
1550.0,2.0,3.0,80.0,Yerawada,3.0
1200.0,2.0,2.0,60.0,Anandnagar,2.0
1327.0,2.0,2.0,98.0,Aundh,2.0
1186.0,2.0,2.0,58.0,Aundh Road,2.0
1783.0,3.0,1.0,115.0,Balaji Nagar,3.0
1400.0,3.0,2.0,56.0,Baner,3.0
980.0,2.0,1.0,48.0,Baner road,2.0
1285.0,2.0,2.0,82.0,Bhandarkar Road,2.0
912.0,2.0,1.0,70.0,Bhavani Peth,3.0
1225.0,2.0,2.0,47.6,Bibvewadi,2.0
1075.0,2.0,1.0,53.0,Bopodi,2.0
1260.0,2.0,2.0,54.0,Budhwar Peth,3.0
1282.0,2.0,2.0,48.7,Bund Garden Road,3.0
1909.0,3.0,2.0,88.0,Camp,3.0
1359.0,2.0,1.0,87.0,Chandan Nagar,2.0
1207.0,2.0,2.0,43.5,Dapodi,2.0
1736.0,6.0,0.0,190.0,Deccan Gymkhana,4.0
2850.0,4.0,1.0,428.0,Dehu Road,4.0
1595.0,3.0,2.0,65.0,Dhankawadi,3.0
1798.0,3.0,2.0,89.0,Dhayari Phata,3.0
1475.0,3.0,2.0,78.29,Dhole Patil Road,3.0
1580.0,3.0,3.0,100.0,Erandwane,3.0
1295.0,2.0,1.0,65.0,Fatima Nagar,2.0
3600.0,6.0,0.0,141.0,Fergusson College Road,6.0
589.0,1.0,1.0,27.0,Ganesh Peth,1.0
1415.0,3.0,3.0,78.0,Ganeshkhind,3.0
1787.0,3.0,2.0,98.29,Ghorpade Peth,3.0
1787.0,3.0,2.0,125.0,Ghorpadi,3.0
1475.0,2.0,3.0,90.0,Gokhale Nagar,3.0
2000.0,4.0,1.0,75.5,Gultekdi,4.0
984.0,2.0,1.0,44.28,Guruwar peth,2.0
2405.0,4.0,2.0,260.0,Hadapsar Industrial Estate,3.0
1080.0,2.0,2.0,72.0,Hingne Khurd,2.0
1500.0,2.0,1.0,115.0,Jangali Maharaj Road,2.0
1900.0,3.0,2.0,119.0,Kalyani Nagar,3.0
805.0,2.0,1.0,22.14,Karve Nagar,2.0
1153.0,2.0,2.0,56.4,Karve Road,2.0
1148.0,2.0,2.0,60.0,Kasba Peth,2.0
1110.0,2.0,2.0,55.0,Katraj,2.0
1100.0,2.0,2.0,42.0,Khadaki,2.0
1290.0,2.0,2.0,110.0,Khadki,2.0
1500.0,2.0,1.0,65.0,Kharadi,3.0
1080.0,2.0,2.0,39.0,Kondhwa,2.0
1933.0,3.0,1.0,129.0,Kondhwa Budruk,3.0
3500.0,5.0,2.0,150.0,Kondhwa Khurd,5.0
1060.0,2.0,2.0,60.0,Koregaon Park,2.0
645.0,1.0,1.0,16.45,Kothrud,1.0
2600.0,8.0,2.0,180.0,Law College Road,8.0
645.0,1.0,1.0,16.45,Laxmi Road,1.0
1644.0,3.0,3.0,84.0,Lulla Nagar,3.0
1285.0,2.0,3.0,72.5,Mahatma Gandhi Road,2.0
1200.0,3.0,1.0,90.0,Mangalwar peth,3.0
910.0,2.0,1.0,40.0,Manik Bagh,2.0
1577.0,3.0,1.0,70.0,Market yard,3.0
4050.0,3.0,2.0,280.0,Model colony,3.0
2420.0,3.0,2.0,185.0,Mukund Nagar,3.0
800.0,1.0,1.0,20.0,Mundhawa,2.0
1060.0,2.0,2.0,55.0,Nagar Road,2.0
1270.0,2.0,2.0,93.0,Nana Peth,2.0
900.0,2.0,2.0,22.5,Narayan Peth,2.0
1280.0,2.0,1.0,69.0,Narayangaon,2.0
1200.0,2.0,0.0,95.0,Navi Peth,4.0
1025.0,2.0,2.0,36.0,Padmavati,2.0
1108.0,2.0,1.0,63.0,Parvati Darshan,2.0
3045.0,3.0,2.0,170.0,Paud Road,3.0
2900.0,3.0,2.0,300.0,Pirangut,4.0
1500.0,3.0,2.0,75.5,Prabhat Road,3.0
1295.0,2.0,2.0,43.9,Pune Railway Station,2.0
1162.0,2.0,1.0,59.9,Rasta Peth,2.0
1035.0,2.0,2.0,49.2,Raviwar Peth,2.0
1600.0,4.0,0.0,52.8,Sadashiv Peth,4.0
1464.0,3.0,2.0,46.0,Sahakar Nagar,3.0
1866.0,2.0,2.0,61.58,Salunke Vihar,3.0
700.0,1.0,1.0,26.0,Sasson Road,2.0
1804.0,3.0,2.0,120.0,Satara Road,3.0
913.0,2.0,1.0,32.0,Senapati Bapat Road,2.0
1868.0,3.0,2.0,131.0,Shaniwar Peth,3.0
883.0,2.0,1.0,45.0,Shivaji Nagar,2.0
900.0,2.0,1.0,110.0,Shukrawar Peth,2.0
1664.0,2.0,3.0,73.95,Sinhagad Road,3.0
2026.0,3.0,2.0,132.0,Somwar Peth,3.0
1210.0,2.0,1.0,80.9,Swargate,2.0
4111.0,4.0,2.0,250.0,Tilak Road,4.0
1762.0,3.0,3.0,91.45,Uruli Devachi,3.0
1252.0,3.0,3.0,55.0,Vadgaon Budruk,3.0
861.0,2.0,1.0,34.5,Wadgaon Sheri,2.0
1420.0,2.0,1.0,100.0,Viman Nagar,3.0
1490.0,3.0,1.0,78.8,Wagholi,3.0
1075.0,2.0,1.0,46.0,Wakadewadi,3.0
1425.0,2.0,2.0,94.0,Wanowrie,3.0
1200.0,2.0,1.0,40.0,Warje,2.0
1280.0,2.0,2.0,56.0,Yerawada,3.0
1084.0,2.0,2.0,50.0,Alandi Road,2.0
1015.0,2.0,2.0,25.88,Ambegaon Budruk,2.0
1017.0,2.0,1.0,51.25,Anandnagar,2.0
1027.0,2.0,2.0,44.0,Aundh,2.0
1069.0,2.0,2.0,45.0,Aundh Road,2.0
1349.0,2.0,1.0,98.2,Balaji Nagar,2.0
1005.0,2.0,1.0,50.0,Baner,2.0
1417.0,2.0,3.0,75.0,Baner road,2.0
1475.0,3.0,1.0,98.0,Bhandarkar Road,3.0
950.0,2.0,2.0,47.0,Bhavani Peth,2.0
2000.0,4.0,0.0,120.0,Bibvewadi,4.0
1863.0,3.0,2.0,104.0,Budhwar Peth,4.0
1010.0,2.0,1.0,29.5,Bund Garden Road,2.0
1425.0,2.0,1.0,70.0,Camp,3.0
1450.0,3.0,0.0,100.0,Chandan Nagar,3.0
1847.0,3.0,2.0,105.0,Dapodi,3.0
1100.0,2.0,3.0,45.0,Deccan Gymkhana,2.0
525.0,1.0,1.0,26.0,Dehu Road,1.0
1665.0,3.0,2.0,95.0,Dhankawadi,3.0
1664.0,4.0,3.0,65.0,Dhayari Phata,4.0
1850.0,3.0,3.0,150.0,Dhole Patil Road,3.0
1438.0,2.0,3.0,100.0,Erandwane,2.0
1560.0,3.0,3.0,115.0,Fatima Nagar,3.0
1350.0,2.0,1.0,55.55,Fergusson College Road,2.0
1550.0,3.0,3.0,67.0,Ganesh Peth,3.0
1140.0,2.0,2.0,46.5,Ganeshkhind,2.0
850.0,2.0,2.0,27.0,Ghorpadi,2.0
1280.0,2.0,2.0,75.0,Gokhale Nagar,2.0
1170.0,2.0,2.0,52.0,Gultekdi,2.0
1113.0,2.0,1.0,51.0,Guruwar peth,2.0
1385.0,2.0,1.0,83.09,Hadapsar,2.0
1128.0,2.0,1.0,65.0,Hadapsar Industrial Estate,2.0
1200.0,2.0,2.0,128.0,Hingne Khurd,2.0
1200.0,4.0,3.0,165.0,Jangali Maharaj Road,4.0
2390.0,3.0,2.0,415.0,Kalyani Nagar,3.0
2400.0,4.0,1.0,400.0,Karve Nagar,4.0
1464.0,3.0,2.0,56.0,Karve Road,3.0
1200.0,2.0,2.0,55.0,Kasba Peth,2.0
1200.0,2.0,2.0,52.0,Katraj,2.0
1150.0,2.0,1.0,55.0,Khadaki,3.0
1645.0,3.0,2.0,95.0,Khadki,3.0
1000.0,2.0,1.0,67.0,Kharadi,2.0
2650.0,4.0,2.0,198.0,Kondhwa,4.0
1192.0,2.0,2.0,74.0,Kondhwa Budruk,2.0
2135.0,3.0,2.0,215.0,Kondhwa Khurd,3.0
1173.0,2.0,1.0,58.0,Koregaon Park,2.0
1020.0,2.0,2.0,45.0,Kothrud,2.0
3122.0,6.0,2.0,230.0,Law College Road,4.0
1600.0,3.0,3.0,64.0,Laxmi Road,3.0
1200.0,2.0,0.0,79.0,Lulla Nagar,2.0
1230.0,2.0,3.0,48.0,Mahatma Gandhi Road,2.0
1250.0,2.0,2.0,40.0,Mangalwar peth,2.0
1325.0,2.0,2.0,76.0,Manik Bagh,2.0
1850.0,3.0,1.0,150.0,Market yard,3.0
1200.0,2.0,2.0,65.0,Mukund Nagar,2.0
1350.0,2.0,0.0,140.0,Mundhawa,3.0
1260.0,3.0,1.0,49.36,Nagar Road,3.0
1800.0,3.0,0.0,150.0,Nana Peth,3.0
1100.0,2.0,1.0,43.25,Narayangaon,2.0
1508.0,2.0,1.0,77.0,Navi Peth,2.0
1592.0,3.0,2.0,75.0,Padmavati,3.0
1388.0,2.0,3.0,57.0,Parvati Darshan,2.0
630.0,1.0,1.0,28.35,Pashan,1.0
2000.0,3.0,2.0,365.0,Paud Road,3.0
1762.0,3.0,1.0,125.0,Pirangut,3.0
950.0,2.0,2.0,50.0,Prabhat Road,2.0
3252.0,5.0,3.0,335.0,Pune Railway Station,4.0
1116.0,2.0,1.0,50.0,Rasta Peth,2.0
1308.0,2.0,2.0,89.04,Raviwar Peth,2.0
1200.0,3.0,0.0,90.0,Sadashiv Peth,3.0
1500.0,4.0,2.0,230.0,Sahakar Nagar,4.0
500.0,1.0,1.0,18.5,Salunke Vihar,1.0
1075.0,2.0,1.0,52.0,Sasson Road,2.0
530.0,1.0,0.0,11.66,Satara Road,1.0
1205.0,2.0,3.0,66.0,Senapati Bapat Road,2.0
1075.0,2.0,2.0,60.0,Shaniwar Peth,2.0
930.0,2.0,2.0,39.0,Shivaji Nagar,2.0
1380.0,2.0,1.0,60.0,Shukrawar Peth,2.0
2483.0,5.0,2.0,212.0,Sinhagad Road,4.0
1166.0,2.0,2.0,55.0,Somwar Peth,2.0
1050.0,2.0,1.0,65.0,Swargate,2.0
2023.71,3.0,2.0,275.0,Tilak Road,3.0
1200.0,2.0,2.0,46.8,Uruli Devachi,2.0
1600.0,2.0,1.0,108.0,Vadgaon Budruk,3.0
1935.0,3.0,2.0,110.0,Wadgaon Sheri,3.0
451.0,1.0,0.0,29.9,Viman Nagar,1.0
1800.0,3.0,2.0,95.0,Vishrant Wadi,3.0
1400.0,3.0,0.0,77.0,Wagholi,3.0
1801.0,3.0,2.0,115.0,Wakadewadi,3.0
1200.0,1.0,1.0,36.0,Warje,2.0
1160.0,2.0,2.0,44.0,Yerawada,2.0
1000.0,2.0,1.0,25.0,Alandi Road,2.0
950.0,2.0,1.0,40.0,Ambegaon Budruk,2.0
1629.0,3.0,2.0,79.0,Anandnagar,3.0
1580.0,2.0,0.0,134.0,Aundh,3.0
1826.0,3.0,2.0,121.0,Aundh Road,3.0
1245.0,2.0,1.0,94.0,Balaji Nagar,2.0
1145.0,2.0,2.0,45.79,Baner,2.0
825.0,2.0,1.0,33.0,Baner road,2.0
1693.0,3.0,3.0,108.0,Bhandarkar Road,3.0
1113.27,2.0,2.0,53.0,Bhavani Peth,2.0
1460.0,2.0,1.0,58.0,Bibvewadi,2.0
1050.0,2.0,1.0,32.0,Bopodi,2.0
1260.0,2.0,2.0,55.0,Budhwar Peth,2.0
1656.0,2.0,1.0,120.0,Camp,2.0
1208.0,3.0,1.0,45.0,Chandan Nagar,3.0
1910.0,3.0,2.0,161.0,Dapodi,3.0
3252.0,4.0,1.0,230.0,Deccan Gymkhana,4.0
1200.0,2.0,1.0,65.0,Dehu Road,2.0
1200.0,4.0,1.0,175.0,Dhankawadi,4.0
1175.0,2.0,1.0,82.0,Dhayari Phata,2.0
1000.0,2.0,0.0,165.0,Dhole Patil Road,2.0
1200.0,2.0,0.0,125.0,Erandwane,4.0
2390.0,3.0,2.0,410.0,Fatima Nagar,3.0
12000.0,6.0,3.0,2200.0,Fergusson College Road,7.0
750.0,2.0,1.0,38.0,Ghorpadi,2.0
1550.0,3.0,3.0,64.5,Gultekdi,3.0
1760.0,3.0,2.0,88.0,Guruwar peth,3.0
1125.0,2.0,2.0,62.0,Hadapsar,2.0
1350.0,3.0,2.0,150.0,Hadapsar Industrial Estate,3.0
1000.0,2.0,1.0,55.0,Hingne Khurd,2.0
1090.0,2.0,2.0,31.48,Jangali Maharaj Road,2.0
1200.0,2.0,0.0,60.0,Kalyani Nagar,2.0
1991.0,4.0,2.0,103.0,Karve Nagar,3.0
1060.0,2.0,1.0,26.5,Karve Road,2.0
1105.0,2.0,1.0,75.0,Kasba Peth,2.0
985.0,2.0,2.0,67.0,Katraj,2.0
1590.0,3.0,2.0,79.0,Khadki,3.0
1120.0,2.0,2.0,55.0,Kharadi,2.0
1069.0,2.0,1.0,55.0,Kondhwa,2.0
1933.0,3.0,2.0,140.0,Kondhwa Budruk,3.0
1194.0,2.0,0.0,69.0,Kondhwa Khurd,2.0
1150.0,2.0,3.0,69.0,Koregaon Park,2.0
1240.0,2.0,2.0,47.12,Kothrud,2.0
1419.0,2.0,2.0,48.1,Law College Road,2.0
1450.0,3.0,2.0,55.0,Mahatma Gandhi Road,3.0
1630.0,3.0,2.0,68.29,Mangalwar peth,3.0
708.0,1.0,1.0,40.0,Manik Bagh,2.0
1000.0,4.0,3.0,110.0,Market yard,3.0
11890.0,4.0,3.0,700.0,Model colony,4.0
1250.0,2.0,1.0,76.0,Mukund Nagar,2.0
1400.0,2.0,1.0,95.0,Mundhawa,3.0
1670.0,2.0,3.0,57.0,Nagar Road,3.0
1750.0,3.0,2.0,100.0,Nana Peth,3.0
1404.0,2.0,1.0,71.0,Narayan Peth,2.0
1715.0,2.0,2.0,95.0,Narayangaon,3.0
630.0,1.0,1.0,34.65,Navi Peth,1.0
1752.12,3.0,2.0,135.0,Padmavati,3.0
1650.0,3.0,2.0,78.0,Parvati Darshan,3.0
1295.0,2.0,1.0,55.47,Pashan,2.0
1800.0,3.0,2.0,252.0,Paud Road,3.0
1346.0,2.0,1.0,74.03,Pirangut,2.0
1200.0,4.0,2.0,200.0,Prabhat Road,4.0
1150.0,2.0,2.0,55.0,Pune Railway Station,2.0
3309.0,4.0,3.0,325.0,Rasta Peth,4.0
1190.0,2.0,2.0,30.35,Raviwar Peth,3.0
1620.0,3.0,2.0,98.0,Sadashiv Peth,3.0
950.0,2.0,1.0,46.96,Sahakar Nagar,2.0
5000.0,9.0,3.0,360.0,Salunke Vihar,11.0
2450.0,3.0,0.0,120.0,Sasson Road,3.0
1220.0,2.0,1.0,35.23,Satara Road,3.0
850.0,2.0,1.0,30.0,Senapati Bapat Road,2.0
1020.0,2.0,2.0,63.0,Shaniwar Peth,2.0
1100.0,2.0,2.0,50.0,Shivaji Nagar,2.0
1150.0,2.0,2.0,126.0,Shukrawar Peth,2.0
1760.0,2.0,2.0,130.0,Sinhagad Road,3.0
1800.0,3.0,3.0,110.0,Somwar Peth,3.0
1070.0,2.0,1.0,54.0,Swargate,2.0
1500.0,4.0,2.0,220.0,Tilak Road,4.0
1440.0,2.0,0.0,95.0,Uruli Devachi,2.0
900.0,2.0,1.0,40.0,Vadgaon Budruk,2.0
1200.0,4.0,1.0,230.0,Wadgaon Sheri,4.0
1130.0,2.0,1.0,42.16,Viman Nagar,2.0
1320.0,2.0,1.0,165.0,Vishrant Wadi,2.0
1270.0,2.0,1.0,98.0,Wagholi,2.0
1200.0,2.0,1.0,62.0,Wakadewadi,2.0
1200.0,2.0,1.0,74.0,Warje,2.0
929.0,2.0,0.0,50.17,Yerawada,2.0
1464.0,3.0,2.0,56.0,Aundh Road,3.0
3600.0,4.0,3.0,400.0,Balaji Nagar,4.0
2000.0,4.0,2.0,99.0,Baner,4.0
1208.0,2.0,1.0,49.0,Baner road,2.0
1130.0,2.0,2.0,60.0,Bhandarkar Road,2.0
1753.0,3.0,2.0,120.0,Bhavani Peth,3.0
4500.0,7.0,3.0,337.0,Bibvewadi,5.0
1196.0,2.0,2.0,94.42,Budhwar Peth,2.0
1150.0,3.0,3.0,52.5,Bund Garden Road,2.0
1128.0,2.0,1.0,63.0,Camp,2.0
1000.0,2.0,1.0,53.0,Chandan Nagar,2.0
1035.0,2.0,1.0,45.0,Dapodi,2.0
950.0,2.0,1.0,32.0,Deccan Gymkhana,2.0
1075.0,2.0,1.0,36.0,Dehu Road,3.0
1040.0,2.0,1.0,48.5,Dhankawadi,2.0
720.0,2.0,1.0,45.0,Dhayari Phata,2.0
1511.0,3.0,1.0,95.0,Dhole Patil Road,3.0
1300.0,3.0,1.0,58.0,Erandwane,3.0
1545.0,3.0,1.0,68.75,Fatima Nagar,3.0
375.0,2.0,0.0,26.0,Fergusson College Road,1.0
1062.0,2.0,3.0,38.0,Ganesh Peth,2.0
1115.0,2.0,1.0,40.0,Ganeshkhind,2.0
1000.0,2.0,1.0,35.0,Ghorpade Peth,2.0
883.0,2.0,1.0,45.0,Ghorpadi,2.0
1195.0,2.0,1.0,70.0,Gokhale Nagar,2.0
1200.0,3.0,1.0,165.0,Gultekdi,4.0
700.0,1.0,0.0,41.0,Guruwar peth,1.0
1246.0,2.0,1.0,67.0,Hadapsar,2.0
1600.0,4.0,1.0,80.0,Jangali Maharaj Road,4.0
2805.0,5.0,3.0,154.0,Kalyani Nagar,4.0
3000.0,5.0,1.0,275.0,Karve Road,4.0
1175.0,2.0,2.0,48.0,Kasba Peth,3.0
1595.0,3.0,2.0,115.0,Katraj,3.0
1353.0,2.0,2.0,110.0,Khadaki,2.0
1599.0,3.0,2.0,125.0,Khadki,3.0
1150.0,2.0,1.0,70.0,Kharadi,2.0
5230.0,6.0,1.0,465.0,Kondhwa,4.0
1155.0,2.0,2.0,42.74,Kondhwa Budruk,2.0
1200.0,2.0,0.0,85.0,Kondhwa Khurd,1.0
1000.0,2.0,1.0,25.0,Koregaon Park,2.0
1867.0,3.0,1.0,160.0,Law College Road,3.0
1251.0,2.0,1.0,47.0,Laxmi Road,2.0
1028.0,2.0,1.0,45.5,Lulla Nagar,2.0
1222.0,2.0,2.0,45.0,Mahatma Gandhi Road,2.0
